,Province_State,Population,05-25-2020,05-26-2020,05-27-2020,05-28-2020,05-29-2020,05-30-2020,05-31-2020,06-01-2020,06-02-2020,06-03-2020,06-04-2020,06-05-2020,06-06-2020,06-07-2020,06-08-2020,06-09-2020,06-10-2020,06-11-2020,06-12-2020,06-13-2020,06-14-2020,06-15-2020,06-16-2020,06-17-2020,06-18-2020,06-19-2020,06-20-2020,06-21-2020,06-22-2020,06-23-2020,06-24-2020,06-25-2020,06-26-2020,06-27-2020,06-28-2020,06-29-2020,06-30-2020,07-01-2020,07-02-2020,07-03-2020,07-04-2020,07-05-2020,07-06-2020,07-07-2020,07-08-2020,07-09-2020,07-10-2020,07-11-2020,07-12-2020,07-13-2020,07-14-2020,07-15-2020,07-16-2020,07-17-2020,07-18-2020,07-19-2020,07-20-2020,07-21-2020,07-22-2020,07-23-2020,07-24-2020,07-25-2020,Incidence_Rate,Admin2,Combined_Key,Risk,FIPS,DOD_Rank,State_Code
0,Alabama,4903185.0,4661.0,5043.0,5201.0,5311.0,5531.0,5552.0,6039.0,6005.0,5951.0,5373.0,5356.0,5272.0,5456.0,5551.0,5456.0,5276.0,5438.0,5785.0,6148.0,6712.0,7145.0,7521.0,7922.0,8227.0,8880.0,9370.0,9274.0,9291.0,9324.0,9470.0,9858.0,10149.0,10261.0,10254.0,9599.0,10654.0,10865.0,11365.0,11648.0,12608.0,13077.0,13697.0,14191.0,14440.0,14647.0,15673.0,15985.0,16501.0,17749.0,17895.0,18695.0,19547.0,20315.0,20500.0,21552.0,22145.0,23063.0,23551.0,23696.0,23793.0,24155.0,24693.0,503.6114280819508,All,"All, Alabama",MEDIUM,NaN,green,AL
1,Alaska,731545.0,29.0,31.0,32.0,45.0,42.0,46.0,72.0,79.0,87.0,103.0,111.0,120.0,128.0,136.0,154.0,161.0,180.0,184.0,193.0,218.0,199.0,195.0,187.0,189.0,193.0,195.0,204.0,207.0,194.0,187.0,196.0,203.0,207.0,200.0,218.0,236.0,260.0,278.0,305.0,338.0,363.0,379.0,401.0,419.0,430.0,452.0,487.0,531.0,596.0,635.0,639.0,653.0,676.0,671.0,686.0,738.0,785.0,859.0,905.0,921.0,924.0,951.0,129.99883807557978,All,"All, Alaska",LOW,NaN,green,AK
2,Arizona,7278717.0,4928.0,4881.0,4864.0,4969.0,5071.0,5369.0,5766.0,5692.0,6452.0,7216.0,7304.0,8575.0,9156.0,10362.0,10857.0,11166.0,12267.0,13114.0,14295.0,15116.0,15485.0,16429.0,17634.0,18313.0,20273.0,22164.0,24372.0,25303.0,26622.0,29761.0,29971.0,31653.0,33239.0,35070.0,37809.0,37305.0,39625.0,42692.0,43518.0,44484.0,43968.0,45035.0,46377.0,46185.0,47928.0,48847.0,49687.0,49237.0,47905.0,48631.0,48177.0,46539.0,46441.0,45867.0,45785.0,44585.0,42773.0,42597.0,40983.0,39247.0,38339.0,38975.0,535.4652475154619,All,"All, Arizona",MEDIUM,NaN,green,AZ
3,Arkansas,3017804.0,1935.0,1955.0,1977.0,2081.0,2226.0,2335.0,2403.0,2538.0,2788.0,2913.0,2845.0,2900.0,3171.0,3352.0,3532.0,3738.0,3949.0,4131.0,4621.0,4913.0,5050.0,5270.0,5128.0,5344.0,5243.0,5629.0,5675.0,5757.0,5987.0,6135.0,6481.0,6544.0,6721.0,6721.0,6860.0,6870.0,7179.0,7196.0,7774.0,7674.0,7678.0,7855.0,7724.0,7539.0,7592.0,7921.0,7732.0,8179.0,8131.0,8234.0,8574.0,8699.0,8694.0,8752.0,9017.0,9048.0,9313.0,9777.0,9604.0,9778.0,9933.0,9704.0,321.55832519275606,All,"All, Arkansas",LOW,NaN,green,AR
4,California,39512223.0,26083.0,27471.0,27316.0,28001.0,28988.0,30234.0,30853.0,32338.0,32561.0,32474.0,33276.0,34623.0,35185.0,35717.0,36528.0,36328.0,37706.0,38623.0,39136.0,39191.0,39440.0,40096.0,40851.0,42553.0,44007.0,44227.0,45733.0,47048.0,50040.0,53955.0,55339.0,56863.0,59295.0,59743.0,62163.0,67051.0,71389.0,74985.0,78554.0,78763.0,76842.0,85277.0,85395.0,91588.0,95642.0,100319.0,102954.0,107049.0,108128.0,108605.0,113811.0,114998.0,116932.0,121457.0,126482.0,120883.0,125506.0,123978.0,127397.0,126947.0,127918.0,126310.0,319.6732312428992,All,"All, California",LOW,NaN,green,CA
5,Colorado,5758736.0,4180.0,4150.0,4038.0,4014.0,4150.0,4288.0,4292.0,4210.0,4143.0,4122.0,4047.0,4007.0,3796.0,3745.0,3703.0,3580.0,3550.0,3364.0,3063.0,2764.0,2598.0,2574.0,2510.0,2473.0,2414.0,2452.0,2379.0,2417.0,2416.0,2438.0,2560.0,2744.0,2882.0,2927.0,3097.0,3134.0,3198.0,3290.0,3386.0,3365.0,3464.0,3472.0,3513.0,3741.0,3925.0,4009.0,4344.0,4518.0,4558.0,4678.0,4922.0,5078.0,5329.0,5681.0,5870.0,6025.0,6241.0,6327.0,6514.0,6708.0,6723.0,7129.0,123.79452713234292,All,"All, Colorado",LOW,NaN,green,CO
6,Connecticut,3565287.0,6420.0,6246.0,5773.0,5502.0,5103.0,4772.0,4221.0,4098.0,4014.0,3566.0,3558.0,3360.0,3374.0,3064.0,2829.0,2518.0,2667.0,2507.0,2573.0,2628.0,2594.0,2156.0,2043.0,2011.0,1953.0,1869.0,1680.0,1593.0,1513.0,1564.0,1441.0,1414.0,1259.0,1134.0,1119.0,1148.0,1205.0,1210.0,1197.0,1123.0,981.0,947.0,1162.0,1108.0,1171.0,1198.0,1209.0,1066.0,973.0,1060.0,927.0,975.0,1026.0,1100.0,1100.0,1100.0,1004.0,986.0,1050.0,954.0,1432.0,1432.0,40.165069460046276,All,"All, Connecticut",LOW,NaN,green,CT
7,Delaware,973764.0,2279.0,2204.0,2028.0,1854.0,1769.0,1793.0,1752.0,1660.0,1575.0,1447.0,1284.0,1181.0,1288.0,1102.0,984.0,925.0,931.0,906.0,914.0,786.0,747.0,721.0,704.0,720.0,746.0,825.0,785.0,791.0,805.0,728.0,736.0,773.0,744.0,763.0,861.0,930.0,964.0,955.0,1114.0,1181.0,1183.0,1215.0,1322.0,1476.0,1481.0,1469.0,1553.0,1571.0,1503.0,1432.0,1419.0,1462.0,1313.0,1349.0,1362.0,1325.0,1267.0,1270.0,1267.0,1320.0,1410.0,1295.0,132.98910208222938,All,"All, Delaware",LOW,NaN,green,DE
8,District of Columbia,705749.0,1724.0,1745.0,1727.0,1661.0,1575.0,1588.0,1595.0,1511.0,1382.0,1399.0,1269.0,1245.0,1247.0,1165.0,1113.0,1085.0,1077.0,1048.0,1070.0,943.0,917.0,895.0,882.0,781.0,731.0,702.0,667.0,644.0,625.0,578.0,549.0,529.0,491.0,470.0,446.0,457.0,478.0,488.0,460.0,458.0,437.0,436.0,431.0,451.0,491.0,495.0,536.0,565.0,581.0,597.0,602.0,643.0,666.0,658.0,726.0,760.0,806.0,839.0,871.0,879.0,893.0,903.0,127.94917173102617,All,"All, District of Columbia",LOW,NaN,green,dc
9,Florida,21477737.0,10212.0,9824.0,9743.0,9576.0,9858.0,10125.0,10092.0,9920.0,10017.0,10814.0,11041.0,11556.0,12163.0,12596.0,12690.0,13231.0,14246.0,15290.0,15993.0,17632.0,18907.0,20005.0,22189.0,23487.0,25269.0,27798.0,30563.0,32871.0,34826.0,36997.0,41129.0,44436.0,51466.0,58491.0,64978.0,68465.0,71765.0,75684.0,82562.0,88192.0,95613.0,102142.0,105514.0,109583.0,114040.0,117886.0,120318.0,121019.0,127759.0,135084.0,138108.0,141677.0,145409.0,147330.0,146124.0,148523.0,152479.0,154495.0,154211.0,155470.0,156434.0,158237.0,736.7489414736758,All,"All, Florida",HIGH,NaN,red,FL
10,Georgia,10617423.0,7184.0,7677.0,8353.0,8571.0,8892.0,8866.0,8977.0,9396.0,9006.0,9224.0,9468.0,9639.0,9739.0,9289.0,9199.0,8822.0,8581.0,8878.0,8882.0,9324.0,9461.0,9324.0,9920.0,10256.0,10115.0,10547.0,10563.0,11127.0,11826.0,13254.0,14389.0,14779.0,15551.0,16267.0,16902.0,16964.0,19483.0,20893.0,22583.0,24643.0,27246.0,28363.0,28644.0,29226.0,30125.0,30851.0,33978.0,35403.0,36289.0,39102.0,38189.0,39038.0,39583.0,39623.0,40157.0,40645.0,40915.0,41327.0,41437.0,43764.0,42953.0,43647.0,411.08845338459247,All,"All, Georgia",LOW,NaN,green,GA
